"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	48
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"Ohio"	"39"	19
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	39
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	23
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	38
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"5-9 years"	"5-9"	"Female"	"F"	"Georgia"	"13"	17
